SKU,Product_Name,Technical_Specs,Unit_Price,Stock_Level
PT-001,Premium Exterior Gloss Paint,"Water-resistant, high-gloss, UV protection, exterior grade",45.99,5000
PT-002,Industrial Anti-Corrosion Coating,"High-viscosity, rust-proof, industrial grade, chemical resistant",89.5,3000
PT-003,Eco-Friendly Interior Paint,"Low-VOC, matte finish, interior use, quick-dry",38.75,8000
SV-001,Heavy-Duty Industrial Solvent,"Fast-evaporating, industrial grade, multi-purpose cleaner",52.3,2500
CT-001,Marine Grade Protective Coating,"Saltwater-resistant, high-durability, weatherproof, marine grade",125.0,1500
PT-004,High-Gloss Automotive Paint,"High-gloss, fast-dry, automotive grade, color-stable",67.8,4000
PT-005,Warehouse Floor Epoxy Coating,"Industrial strength, chemical resistant, non-slip, heavy-traffic",95.25,2200
SV-002,Paint Thinner Professional Grade,"Quick-dry formula, low odor, professional grade",28.5,6000
PT-006,Fire-Resistant Industrial Coating,"Flame-retardant, high-temperature resistant, industrial grade",156.0,1200
CT-002,Waterproofing Membrane Coating,"100% waterproof, flexible, crack-bridging, long-lasting",78.9,3500
